# rau, sigma_d, hdust
1.354746e+02 1.367918e+00 5.108179e+00
1.377471e+02 1.356588e+00 5.215510e+00
1.400577e+02 1.345351e+00 5.325097e+00
1.424070e+02 1.334207e+00 5.436985e+00
1.447958e+02 1.323156e+00 5.551225e+00
1.472247e+02 1.312196e+00 5.667865e+00
1.496942e+02 1.301327e+00 5.786956e+00
1.522053e+02 1.123465e+00 5.908549e+00
1.547584e+02 9.512923e-01 6.032697e+00
1.573543e+02 8.055054e-01 6.159454e+00
1.599939e+02 6.820606e-01 6.288874e+00
1.626776e+02 5.775339e-01 6.421013e+00
1.654064e+02 4.890260e-01 6.555929e+00
1.681810e+02 4.140821e-01 6.693680e+00
1.710021e+02 3.506234e-01 6.834324e+00
1.738706e+02 2.968899e-01 6.977924e+00
1.767871e+02 2.513911e-01 7.124542e+00
1.797526e+02 2.128651e-01 7.274240e+00
1.827678e+02 1.802432e-01 7.427083e+00
1.858336e+02 1.526207e-01 7.583138e+00
1.889508e+02 1.292314e-01 7.742472e+00
1.921203e+02 1.094265e-01 7.905154e+00
1.953430e+02 9.265671e-02 8.071254e+00
1.986198e+02 7.845694e-02 8.240844e+00
2.019515e+02 6.643330e-02 8.413997e+00
2.053391e+02 5.625231e-02 8.590788e+00
2.087835e+02 4.763156e-02 8.771295e+00
2.122857e+02 4.033196e-02 8.955594e+00
2.158466e+02 3.415103e-02 9.143765e+00
2.194673e+02 2.891734e-02 9.335890e+00
2.231487e+02 2.448572e-02 9.532052e+00
2.268918e+02 2.073325e-02 9.732336e+00
2.306978e+02 1.755585e-02 9.936828e+00
2.345676e+02 1.486539e-02 1.014562e+01
2.385023e+02 1.258725e-02 1.035879e+01
2.425030e+02 1.065823e-02 1.057645e+01
2.465708e+02 9.024845e-03 1.079867e+01
2.507068e+02 7.641775e-03 1.102557e+01
2.549123e+02 6.470662e-03 1.125724e+01
2.591882e+02 5.479024e-03 1.149377e+01
2.635359e+02 4.639356e-03 1.173527e+01
2.679565e+02 3.928369e-03 1.198185e+01
